resample_id,net_pnl
221,173.59017935959432
222,146.11623864414682
223,198.81249420981658
224,191.73072685880476
225,181.03294883779745
226,165.75737461768023
227,241.16032518843116
228,143.60595283832055
229,201.06698182494353
230,172.7032029085057
231,204.56682251496386
232,200.0668803420155
233,189.9959082530085
234,175.38439324679845
235,224.37733520901122
236,204.04354982608618
237,175.42350501418167
238,195.50617415103903
239,127.2214166939314
240,172.11014816364255
241,168.99106562615327
242,95.80474489181802
243,185.8999357499463
244,192.8574441179641
245,175.48850274467978
246,197.48580617424318
247,132.99116135348353
248,189.80523441937044
249,131.49369451434188
250,121.10404139843595
251,130.0461472158516
252,222.46382773086853
253,224.16852287342488
254,166.80465419705004
255,142.34426611571777
256,160.11597477637207
257,238.5263452094751
258,197.62327797313043
259,270.07877209882434
260,193.94937164476838
261,159.93040020872067
262,160.36576515591642
263,240.46603060071476
264,176.0603675515316
265,160.95344278951478
266,117.00083741287898
267,233.94396720692518
268,234.27669005848648
269,205.29659476211714
270,157.72702442875243
271,179.2628747728752
272,151.1604105373548
273,132.94742811881434
274,211.6247539645526
275,170.83799258894678
276,152.79827479506457
277,229.15822573983513
278,187.0711623731232
279,169.148473796146
280,223.92078979869743
281,183.3056263750046
282,158.3228027233624
283,228.44552993284634
284,205.9346898200443
285,230.0641631444716
286,131.7738144856315
287,194.70526795138133
288,210.95239392633124
289,114.64427165441701
290,144.78928385824184
291,181.6731421950112
292,161.12189492673767
293,109.978252945604
294,172.59547604771342
295,194.1259934931588
296,206.48451193074314
297,261.6948885825033
298,247.47553359588727
299,204.69073530803976
300,138.5996241275648
301,215.46349510845576
302,228.04640575857601
303,240.906712285963
304,177.86887405799388
305,105.34089794600212
306,174.2553867751428
307,205.9818373186918
308,193.1449622535177
309,235.2079502459647
310,218.23925463650738
311,135.7430783923779
312,197.2818709905975
313,234.45286647189673
314,149.94342461741115
315,205.82085589517672
316,127.89463574635555
317,189.59338860191158
318,185.51561166248308
319,190.77529803773393
320,158.32386943678992
321,164.68367462899505
322,167.35154418424008
323,269.1966907155324
324,207.6128960048734
325,199.40152585012603
326,162.31298757365386
327,201.3458541767063
328,158.256986323409
329,225.4219681359723
330,265.3465268513139
331,196.316317510911
332,174.77949535666716
333,205.60909644606338
334,268.0827096226437
335,148.77987910944955
336,248.22794320179892
337,172.3158482332655
338,215.40501755064776
339,177.51850258650148
340,215.16832510135706
341,142.30145510371267
342,191.09033393773723
343,223.8632148870658
344,235.17734988423578
345,196.25726603589044
346,235.03673783479155
347,201.52198160733562
348,129.47538520678222
349,127.63573110065303
350,143.62949618591742
351,142.770021102703
352,158.59799766668482
353,306.32050542553486
354,234.39913203934418
355,252.67349120322353
356,186.7564217941292
357,163.67937543075027
358,208.12959022162846
359,181.4168216270999
360,264.73343330611254
361,130.97790445727026
362,269.2071274935974
363,207.3016888700336
364,228.48770215101567
365,175.51175338115098
366,223.679163087045
367,227.29540740696504
368,200.94329986390554
369,197.12529649417792
370,192.1844202053339
371,181.81907569760395
372,260.25175160084575
373,154.7376446523385
374,185.13816485149414
375,228.99204593081606
376,132.02263605359929
377,229.39573236028536
378,233.66169408936037
379,171.79983207590658
380,138.02682935763468
381,279.8941705031467
382,236.63701893319427
383,117.17735265857465
384,194.54308137151892
385,235.4709495761259
386,237.44557921290306
387,154.60610574515377
388,213.8690392446066
389,184.76520294842746
390,211.0896221573563
391,227.40716957924232
392,159.41884449224756
393,148.76960918208957
394,200.07827597109767
395,184.56949893862765
396,222.31543983066217
397,205.6538880790152
398,204.12870182124294
399,183.4355508754315
400,223.43208713220284
401,133.9800187525136
402,231.24470419251733
403,199.71720828461258
404,172.87741331350895
405,296.13311705231837
406,145.6281403232605
407,145.22249495554908
408,91.17076332788639
409,207.64030987130823
410,161.22608199769513
411,179.73341207720813
412,190.30090627093327
413,181.99118549305248
414,205.9980443614016
415,212.56789301858575
416,183.14083541302327
417,124.91761359335933
418,196.14844298477178
419,259.8939812275581
420,307.45273077212187
421,150.043716480246
422,261.5113450473484
423,220.48044697544861
424,220.9514905226441
425,233.90242025017227
426,248.57648010877642
427,120.4727831282917
428,273.29646571414304
429,79.677196456077
430,183.92056725376693
431,136.4352207023046
432,137.19257231753792
433,185.67795734699834
434,241.03595537745568
435,126.05472382111758
436,128.7338743613171
437,199.53396864520406
438,174.84023483904247
439,144.67786024442245
440,152.0539908052703
441,190.540934232353
442,196.109158556696
443,129.7318623515146
444,192.23851336136704
445,270.4720338094572
446,163.47979128141756
447,194.11806254731707
448,196.10801228741985
449,200.6140082150801
450,137.46218320798917
451,148.38211781417235
452,172.3736591785441
453,170.8838683670423
454,233.88523450395584
455,197.23586441054573
456,218.20030876105332
457,248.47101996855105
458,118.17032207983688
459,177.21591471243119
460,153.53225248521403
461,189.94064275958823
462,178.77795716580445
463,158.41726952629406
464,152.15072871810662
465,123.17121317597987
466,196.04152324649925
467,257.12314365465033
468,141.93631225885298
469,186.50384588623518
470,157.77348291215216
471,187.4491132564503
472,232.649188270021
473,190.80273806149233
474,218.74090755129652
475,212.76267703614508
476,143.91935645963252
477,79.75000684331698
478,216.2021741000001
479,156.99102207032718
480,128.77965160145177
481,199.05570257609625
482,227.50238728625717
483,126.17667980536805
484,253.16342008400616
485,276.52742962303427
486,207.69499605582772
487,269.20282987586097
488,177.94221101456682
489,207.25443452837268
490,152.21822408671184
491,171.56001542221117
492,177.04282435889738
493,187.35447339209645
494,205.63362864270044
495,234.7676542620677
496,223.40615339562652
497,143.79004036285946
498,180.64428782458748
499,237.26152353193768
500,250.24362091744507
501,189.62992976565118
502,247.72413084385883
503,230.64169166624634
504,158.93486236981954
505,159.46251267330558
506,181.29012148010486
507,153.8608439866369
