edge_threshold,price_filter,prob_source,size_style,cost_model,n_trades,win_rate,avg_edge,gross_pnl,net_pnl,risk,roi_on_risk,max_drawdown,best_city,worst_city,best_strike_zone,worst_strike_zone
0.03,0.30-0.70,model_prob_recal,kelly_quarter,fee_kalshi,198,0.5959595959595959,0.28444951290194387,8010.477893773646,7024.860331568411,30308.659906572393,0.23177733206360204,1359.629672198524,miami,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,flat_1,gross,188,0.6117021276595744,0.14863309006949976,18.599999999999998,18.599999999999998,96.4,0.19294605809128626,4.81,philadelphia,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,flat_1,spread_2c,188,0.6117021276595744,0.14863309006949976,18.599999999999998,14.839999999999996,96.4,0.1539419087136929,5.050000000000001,philadelphia,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,flat_1,fee_kalshi,188,0.6117021276595744,0.14863309006949976,18.599999999999998,15.4453485,96.4,0.16022145746887967,5.0084815,philadelphia,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,dollar_risk_1,gross,188,0.6117021276595744,0.14863309006949976,38.95609464980908,38.95609464980908,188.0,0.2072132694138781,10.567305044728947,philadelphia,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,dollar_risk_1,spread_2c,188,0.6117021276595744,0.14863309006949976,38.95609464980908,31.300975527679867,188.0,0.16649455067914823,11.541965936746607,philadelphia,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,dollar_risk_1,fee_kalshi,188,0.6117021276595744,0.14863309006949976,38.95609464980908,32.54409464980908,188.0,0.1731068864351547,11.378255044728947,philadelphia,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,kelly_quarter,gross,188,0.6117021276595744,0.14863309006949976,4051.96325521446,4051.96325521446,15033.776895356863,0.2695239714822359,625.5068180902301,miami,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,kelly_quarter,spread_2c,188,0.6117021276595744,0.14863309006949976,4051.96325521446,3467.8526989730626,15033.776895356863,0.23067075712983998,673.0838732103865,miami,denver,bin_between,threshold_greater
0.03,0.30-0.70,blend_50_50,kelly_quarter,fee_kalshi,188,0.6117021276595744,0.14863309006949976,4051.96325521446,3562.9603888858055,15033.776895356863,0.23699702434630482,665.1262531195933,miami,denver,bin_between,threshold_greater
0.05,all,model_prob_raw,flat_1,gross,474,0.6582278481012658,0.21581508323624082,47.56,47.56,264.44,0.179851762214491,2.8549999999999986,miami,chicago,bin_between,threshold_greater
0.05,all,model_prob_raw,flat_1,spread_2c,474,0.6582278481012658,0.21581508323624082,47.56,38.08,264.44,0.144002420208743,3.495000000000001,miami,chicago,bin_between,threshold_greater
0.05,all,model_prob_raw,flat_1,fee_kalshi,474,0.6582278481012658,0.21581508323624082,47.56,41.9919935,264.44,0.1587959215701104,3.2416922500000016,miami,chicago,bin_between,threshold_greater
0.05,all,model_prob_raw,dollar_risk_1,gross,466,0.6695278969957081,0.21794540451145944,176.08803410878616,176.08803410878616,466.0,0.3778713178300132,10.78082294917455,phoenix,nyc,bin_between,threshold_greater
0.05,all,model_prob_raw,dollar_risk_1,spread_2c,466,0.6695278969957081,0.21794540451145944,176.08803410878616,131.2675661655348,466.0,0.2816900561492163,12.44020900352006,phoenix,nyc,bin_between,threshold_greater
0.05,all,model_prob_raw,dollar_risk_1,fee_kalshi,466,0.6695278969957081,0.21794540451145944,176.08803410878616,161.97603410878617,466.0,0.34758805602743814,11.630972949174534,phoenix,nyc,bin_between,threshold_greater
0.05,all,model_prob_raw,kelly_quarter,gross,474,0.6582278481012658,0.21581508323624082,24340.06954424007,24340.06954424007,73391.45891973368,0.3316471685194345,1033.545072880534,boston,denver,bin_between,threshold_greater
0.05,all,model_prob_raw,kelly_quarter,spread_2c,474,0.6582278481012658,0.21581508323624082,24340.06954424007,19580.90504408845,73391.45891973368,0.266800869369603,1428.528230339965,boston,denver,bin_between,threshold_greater
0.05,all,model_prob_raw,kelly_quarter,fee_kalshi,474,0.6582278481012658,0.21581508323624082,24340.06954424007,22549.883428795452,73391.45891973368,0.30725487353314057,1112.1187312807872,boston,denver,bin_between,threshold_greater
0.05,all,model_prob_recal,flat_1,gross,456,0.6798245614035088,0.23041713621334822,56.845,56.845,253.155,0.2245462266200549,3.0899999999999928,philadelphia,chicago,bin_between,threshold_greater
0.05,all,model_prob_recal,flat_1,spread_2c,456,0.6798245614035088,0.23041713621334822,56.845,47.724999999999994,253.155,0.1885208666627165,3.629999999999999,philadelphia,chicago,bin_between,threshold_greater
0.05,all,model_prob_recal,flat_1,fee_kalshi,456,0.6798245614035088,0.23041713621334822,56.845,51.40185425,253.155,0.20304498923584366,3.431019000000001,philadelphia,chicago,bin_between,threshold_greater
0.05,all,model_prob_recal,dollar_risk_1,gross,452,0.6858407079646017,0.23147523862707953,203.78307598192748,203.78307598192748,452.0,0.45084751323435285,10.7779706863449,boston,denver,bin_between,threshold_greater
0.05,all,model_prob_recal,dollar_risk_1,spread_2c,452,0.6858407079646017,0.23147523862707953,203.78307598192748,162.59264700683642,452.0,0.35971824559034604,13.246021622877642,philadelphia,denver,bin_between,threshold_greater
0.05,all,model_prob_recal,dollar_risk_1,fee_kalshi,452,0.6858407079646017,0.23147523862707953,203.78307598192748,189.8625259819275,452.0,0.4200498362432024,11.541670686344887,boston,denver,bin_between,threshold_greater
0.05,all,model_prob_recal,kelly_quarter,gross,456,0.6798245614035088,0.23041713621334822,26880.35684204886,26880.35684204886,74119.90376766499,0.3626604390408759,1172.5926947856483,boston,chicago,bin_between,threshold_greater
0.05,all,model_prob_recal,kelly_quarter,spread_2c,456,0.6798245614035088,0.23041713621334822,26880.35684204886,22234.43077116335,74119.90376766499,0.29997921800949745,1570.6227625665288,miami,chicago,bin_between,threshold_greater
0.05,all,model_prob_recal,kelly_quarter,fee_kalshi,456,0.6798245614035088,0.23041713621334822,26880.35684204886,25041.628095066342,74119.90376766499,0.33785294937189086,1250.479286264786,boston,chicago,bin_between,threshold_greater
