city,source,target_date,residual_f
austin,multi_blend_equal,,-2.8805
austin,multi_blend_equal,,3.2795
austin,multi_blend_equal,,0.2595
austin,multi_blend_equal,,0.0395
austin,multi_blend_equal,,-1.1205
austin,multi_blend_equal,,-0.3605
austin,multi_blend_equal,,-2.2605
austin,multi_blend_equal,,-1.0805
austin,multi_blend_equal,,-2.5605
austin,multi_blend_equal,,-0.5005
boston,multi_blend_equal,,-2.0531
boston,multi_blend_equal,,-1.2281
boston,multi_blend_equal,,-2.5431
boston,multi_blend_equal,,-0.5931
boston,multi_blend_equal,,-1.8931
boston,multi_blend_equal,,3.5719
boston,multi_blend_equal,,-2.1831
boston,multi_blend_equal,,-3.8031
boston,multi_blend_equal,,0.6869
boston,multi_blend_equal,,-1.7931
boston,multi_blend_equal,,-0.0931
boston,multi_blend_equal,,-2.1331
boston,multi_blend_equal,,-1.0181
boston,multi_blend_equal,,0.4969
boston,multi_blend_equal,,-1.9481
boston,multi_blend_equal,,-0.8231
boston,multi_blend_equal,,-1.2131
boston,multi_blend_equal,,1.1019
boston,multi_blend_equal,,0.4669
boston,multi_blend_equal,,-2.5481
boston,multi_blend_equal,,1.0419
boston,multi_blend_equal,,1.6819
boston,multi_blend_equal,,-1.6481
boston,multi_blend_equal,,1.5669
