city,target,ticker,snapshot_hour_utc,candle_count,last_ts,last_close,last_yes_bid,last_yes_ask,last_mid,last_volume
la,2026-05-02,KXHIGHLAX-26MAY02-B65.5,4,22,1777694400,0.05,0.07,0.09,0.08,306.79
la,2026-05-02,KXHIGHLAX-26MAY02-B65.5,12,53,1777723200,,0.15,0.16,0.155,0
la,2026-05-02,KXHIGHLAX-26MAY02-B65.5,20,61,1777752000,0.28,0.28,0.31,0.29500000000000004,79.53
denver,2026-05-02,KXHIGHDEN-26MAY02-B67.5,4,11,1777694040,0.12,0.11,0.12,0.11499999999999999,18.0
denver,2026-05-02,KXHIGHDEN-26MAY02-B67.5,12,60,1777723200,,0.1,0.11,0.10500000000000001,0
denver,2026-05-02,KXHIGHDEN-26MAY02-B67.5,20,55,1777752000,0.16,0.08,0.14,0.11000000000000001,26.77
denver,2026-05-02,KXHIGHDEN-26MAY02-B73.5,4,37,1777694280,,0.09,0.11,0.1,0
denver,2026-05-02,KXHIGHDEN-26MAY02-B73.5,12,61,1777723200,,0.05,0.06,0.055,0
denver,2026-05-02,KXHIGHDEN-26MAY02-B73.5,20,33,1777751880,0.02,0.01,0.02,0.015,218.6
denver,2026-05-02,KXHIGHDEN-26MAY02-T74,4,13,1777694160,0.03,0.03,0.05,0.04,3.0
denver,2026-05-02,KXHIGHDEN-26MAY02-T74,12,2,1777720080,,0.0,0.01,0.005,0
denver,2026-05-02,KXHIGHDEN-26MAY02-T74,20,27,1777752000,,0.0,0.04,0.02,0
denver,2026-05-02,KXHIGHDEN-26MAY02-B69.5,4,24,1777694280,,0.4,0.41,0.405,0
denver,2026-05-02,KXHIGHDEN-26MAY02-B69.5,12,52,1777723200,0.39,0.39,0.4,0.395,1.0
denver,2026-05-02,KXHIGHDEN-26MAY02-B69.5,20,47,1777752000,0.6,0.55,0.62,0.585,100.0
denver,2026-05-02,KXHIGHDEN-26MAY02-B71.5,4,22,1777694280,,0.32,0.35,0.33499999999999996,0
denver,2026-05-02,KXHIGHDEN-26MAY02-B71.5,12,55,1777723200,,0.42,0.43,0.425,0
denver,2026-05-02,KXHIGHDEN-26MAY02-B71.5,20,45,1777752000,,0.26,0.3,0.28,0
denver,2026-05-02,KXHIGHDEN-26MAY02-T67,4,29,1777694400,,0.03,0.04,0.035,0
denver,2026-05-02,KXHIGHDEN-26MAY02-T67,12,43,1777723200,,0.03,0.04,0.035,0
denver,2026-05-02,KXHIGHDEN-26MAY02-T67,20,19,1777751580,,0.0,0.01,0.005,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-T67,4,5,1777693560,0.02,0.02,0.03,0.025,3.0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-T67,12,11,1777722060,,0.0,0.02,0.01,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-T67,20,23,1777751940,,0.0,0.01,0.005,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B66.5,4,19,1777693560,,0.02,0.03,0.025,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B66.5,12,58,1777723140,0.05,0.05,0.06,0.055,12.0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B66.5,20,25,1777751940,,0.0,0.02,0.01,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B64.5,4,10,1777693080,0.18,0.18,0.19,0.185,1.0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B64.5,12,56,1777723200,,0.23,0.24,0.235,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B64.5,20,53,1777752000,0.12,0.13,0.15,0.14,4.5
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B60.5,4,30,1777694340,,0.22,0.24,0.22999999999999998,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B60.5,12,54,1777723200,,0.17,0.2,0.185,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B60.5,20,33,1777751940,,0.0,0.01,0.005,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-T60,4,26,1777694340,,0.09,0.11,0.1,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-T60,12,54,1777723200,,0.02,0.03,0.025,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-T60,20,25,1777751940,,0.0,0.01,0.005,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B62.5,4,26,1777694340,,0.4,0.42,0.41000000000000003,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B62.5,12,54,1777723200,,0.48,0.49,0.485,0
philadelphia,2026-05-02,KXHIGHPHIL-26MAY02-B62.5,20,49,1777752000,0.9,0.81,0.9,0.855,5.52
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B97.5,4,2,1777693560,,0.1,0.11,0.10500000000000001,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B97.5,12,61,1777723200,,0.05,0.06,0.055,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B97.5,20,41,1777752000,0.04,0.03,0.04,0.035,48.26
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B95.5,4,29,1777694400,,0.61,0.62,0.615,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B95.5,12,47,1777723200,,0.65,0.66,0.655,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B95.5,20,49,1777752000,0.75,0.72,0.75,0.735,49.26
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B99.5,4,2,1777693560,,0.02,0.03,0.025,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B99.5,12,45,1777723200,,0.0,0.02,0.01,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B99.5,20,11,1777751160,,0.0,0.02,0.01,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-T93,4,26,1777694400,,0.01,0.02,0.015,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-T93,12,22,1777723200,,0.01,0.02,0.015,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-T93,20,16,1777752000,0.01,0.0,0.01,0.005,66.0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-T100,4,4,1777694100,,0.0,0.01,0.005,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-T100,12,43,1777723200,,0.0,0.02,0.01,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-T100,20,6,1777750980,,0.0,0.01,0.005,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B93.5,4,23,1777694340,,0.17,0.2,0.185,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B93.5,12,51,1777723200,,0.26,0.27,0.265,0
phoenix,2026-05-02,KXHIGHTPHX-26MAY02-B93.5,20,46,1777752000,0.17,0.12,0.21,0.16499999999999998,307.66
boston,2026-05-02,KXHIGHTBOS-26MAY02-B62.5,4,13,1777694400,,0.02,0.04,0.03,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B62.5,12,20,1777723200,,0.02,0.04,0.03,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B62.5,20,27,1777751700,,0.0,0.01,0.005,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B58.5,4,17,1777694400,,0.2,0.21,0.20500000000000002,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B58.5,12,30,1777723140,,0.23,0.24,0.235,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B58.5,20,47,1777752000,0.02,0.02,0.05,0.035,27.0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B60.5,4,24,1777694280,,0.07,0.09,0.08,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B60.5,12,17,1777723200,,0.06,0.07,0.065,0
